ST01Q01,International Grade,Me,International Grade,,,,,,,,2012,,,,,,,,,,,
SC24QG4,Responsibility student discipline - Regional or local educational authority Q24g4,Responsibility student discipline - Regional or local educational authority Q24g4,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC24QG5,Responsibility student discipline - National education authority Q24g5,Responsibility student discipline - National education authority Q24g5,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC24QH1,Responsibility student assessment - Principal Q24h1,Responsibility student assessment - Principal Q24h1,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC24QH2,Responsibility student assessment - Teachers Q24h2,Responsibility student assessment - Teachers Q24h2,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC24QH3,Responsibility student assessment - School governing board Q24h3,Responsibility student assessment - School governing board Q24h3,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC24QH4,Responsibility student assessment - Regional or local educational authority Q24h4,Responsibility student assessment - Regional or local educational authority Q24h4,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC24QH5,Responsibility student assessment - National education authority Q24h5,Responsibility student assessment - National education authority Q24h5,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC24QI1,Responsibility student admission - Principal Q24i1,Responsibility student admission - Principal Q24i1,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC24QI2,Responsibility student admission - Teachers Q24i2,Responsibility student admission - Teachers Q24i2,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC24QI3,Responsibility student admission - School governing board Q24i3,Responsibility student admission - School governing board Q24i3,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC24QI4,Responsibility student admission - Regional or local educational authority Q24i4,Responsibility student admission - Regional or local educational authority Q24i4,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC24QI5,Responsibility student admission - National education authority Q24i5,Responsibility student admission - National education authority Q24i5,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC24QJ1,Responsibility textbook use - Principal Q24j1,Responsibility textbook use - Principal Q24j1,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC24QJ2,Responsibility textbook use - Teachers Q24j2,Responsibility textbook use - Teachers Q24j2,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC24QJ3,Responsibility textbook use - School governing board Q24j3,Responsibility textbook use - School governing board Q24j3,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC24QJ4,Responsibility textbook use - Regional or local educational authority Q24j4,Responsibility textbook use - Regional or local educational authority Q24j4,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC24QJ5,Responsibility textbook use - National education authority Q24j5,Responsibility textbook use - National education authority Q24j5,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC24QK1,Responsibility course content - Principal Q24k1,Responsibility course content - Principal Q24k1,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC24QK2,Responsibility course content - Teachers Q24k2,Responsibility course content - Teachers Q24k2,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC24QK3,Responsibility course content - School governing board Q24k3,Responsibility course content - School governing board Q24k3,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC24QK4,Responsibility course content - Regional or local educational authority Q24k4,Responsibility course content - Regional or local educational authority Q24k4,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC24QK5,Responsibility course content - National education authority Q24k5,Responsibility course content - National education authority Q24k5,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC24QL1,Responsibility courses offered - Principal Q24l1,Responsibility courses offered - Principal Q24l1,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC24QL2,Responsibility courses offered - Teachers Q24l2,Responsibility courses offered - Teachers Q24l2,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC24QL3,Responsibility courses offered - School governing board Q24l3,Responsibility courses offered - School governing board Q24l3,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC24QL4,Responsibility courses offered - Regional or local educational authority Q24l4,Responsibility courses offered - Regional or local educational authority Q24l4,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC24QL5,Responsibility courses offered - National education authority Q24l5,Responsibility courses offered - National education authority Q24l5,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC25QA1,Regional or national authority - Influence staffing Q25a1,Regional or national authority - Influence staffing Q25a1,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC25QA2,Regional or national authority - Influence budget Q25a2,Regional or national authority - Influence budget Q25a2,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC25QA3,Regional or national authority - Influence instructional content Q25a3,Regional or national authority - Influence instructional content Q25a3,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC25QA4,Regional or national authority - Influence assessment Q25a4,Regional or national authority - Influence assessment Q25a4,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC25QB1,School governing board - Influence staffing Q25b1,School governing board - Influence staffing Q25b1,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC25QB2,School governing board - Influence budget Q25b2,School governing board - Influence budget Q25b2,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC25QB3,School governing board - Influence instructional content Q25b3,School governing board - Influence instructional content Q25b3,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC25QB4,School governing board - Influence assessment Q25b4,School governing board - Influence assessment Q25b4,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC25QC1,Parent groups - Influence staffing Q25c1,Parent groups - Influence staffing Q25c1,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC25QC2,Parent groups - Influence budget Q25c2,Parent groups - Influence budget Q25c2,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC25QC3,Parent groups - Influence instructional content Q25c3,Parent groups - Influence instructional content Q25c3,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC25QC4,Parent groups - Influence assessment Q25c4,Parent groups - Influence assessment Q25c4,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC25QD1,Teacher groups - Influence staffing Q25d1,Teacher groups - Influence staffing Q25d1,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC25QD2,Teacher groups - Influence budget Q25d2,Teacher groups - Influence budget Q25d2,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC25QD3,Teacher groups - Influence instructional content Q25d3,Teacher groups - Influence instructional content Q25d3,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC25QD4,Teacher groups - Influence assessment Q25d4,Teacher groups - Influence assessment Q25d4,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC25QE1,Student groups - Influence staffing Q25e1,Student groups - Influence staffing Q25e1,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC25QE2,Student groups - Influence budget Q25e2,Student groups - Influence budget Q25e2,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC25QE3,Student groups - Influence instructional content Q25e3,Student groups - Influence instructional content Q25e3,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC25QE4,Student groups - Influence assessment Q25e4,Student groups - Influence assessment Q25e4,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC25QF1,Examination board - Influence staffing Q25f1,Examination board,Influence staffing,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC25QF2,Examination board - Influence budget Q25f2,Examination board,Influence budget,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC25QF3,Examination board - Influence instructional content Q25f3,Examination board,Influence instructional content,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC25QF4,Examination board - Influence assessment Q25f4,Examination board,Influence assessment,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC26Q01,Professional development,Professional development,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC26Q02,Educational goals - Teachers,Educational goals - Teachers,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC26Q03,Observe in classrooms,Observe in classrooms,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC26Q04,Student performance,Student performance,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC26Q05,Give suggestions,Give suggestions,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC26Q06,Monitor student's work,Monitor student's work,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC26Q07,Teacher's problems,Teacher's problems,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC26Q08,Teachers Updating skills,Teachers Updating skills,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC26Q09,Educational Goals - Classroom,Educational Goals - Classroom,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC26Q10,Exam results into account,Exam results into account,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC26Q11,Curriculum Responsibility,Curriculum Responsibility,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC26Q12,Classroom problems,Classroom problems,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC26Q13,Disruptive behaviour,Disruptive behaviour,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC26Q14,Take over lessons,Take over lessons,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SC27Q01,Gender,Gender,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ABGROUP,Ability grouping between classes,Ability grouping between classes,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
COMPWEB,Proportion of computers connected to the Internet,Proportion of computers connected to the Internet,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
IRATCOMP,Ratio of computers and school size,Ratio of computers and school size,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
PCGIRLS,Proportion of girls in the school,Proportion of girls in the school,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
PROPCERT,Proportion of certified teachers,Proportion of certified teachers,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
PROPQUAL,Proportion of qualified teachers,Proportion of qualified teachers,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SCHSIZE,Total school enrolment,Total school enrolment,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SCHTYPE,School Type,School Type,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SELSCH,Index of academic school selectivity,Index of academic school selectivity,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
STRATIO,Teacher-Student ratio,Teacher-Student ratio,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
EXCURACT,Extra-curricular activities offered by school,Extra-curricular activities offered by school,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
LDRSHP,School leadership,School leadership,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
RESPCURR,School responsibility: curriculum and assessment,School responsibility: curriculum and assessment,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
RESPRES,School responsibility: resource allocation,School responsibility: resource allocation,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
SCMATEDU,Quality of the schools educational resources,Quality of the schools educational resources,,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
STUDBEHA,Student behaviour,Student,behaviour,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
TCHPARTI,Teacher participation,Teacher,participation,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
TCSHORT,Teacher shortage,Teacher,shortage,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
TEACBEHA,Teacher behaviour,Teacher,behaviour,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST01Q01,Grade Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST02Q01,Study programme Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST03Q02,Month of birth Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST03Q03,Year of birth Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST04Q01,Gender Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST05Q01,Mother ISCO code Q5a,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST06Q01,Mother <highest schooling> Q6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST07Q01,Mother <ISCED 5A or 6> Q7a,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST07Q02,Mother <ISCED 5B> Q7b,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST07Q03,Mother <ISCED 4> Q7c,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST08Q01,Father ISCO Code Q8a,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST09Q01,Father <highest schooling> Q9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST10Q01,Father <ISCED 5A or 6> Q10a,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST10Q02,Father <ISCED 5B> Q10b,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST10Q03,Father <ISCED 4> Q10c,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST11Q01,Self born in country Q11a,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST11Q02,Mother born in country Q11a,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST11Q03,Father born in country Q11a,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST11Q04,Country arrival age Q11b,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST12Q01,Language at home Q12,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST13Q01,Possessions desk Q13a,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST13Q02,Possessions own room Q13b,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST13Q03,Possessions study place Q13c,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST13Q04,Possessions computer Q13d,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST13Q05,Possessions software Q13e,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST13Q06,Possessions Internet Q13f,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST13Q07,Possessions calculator Q13g,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST13Q08,Possessions literature Q13h,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST13Q09,Possessions poetry Q13i,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST13Q10,Possessions art Q13j,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST13Q11,Possessions textbooks Q13k,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST13Q12,Possessions dictionary Q13l,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST13Q13,Possessions dishwasher Q13m,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST13Q14,Possessions <DVD or VCR> Q13n,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST13Q15,Possessions <country-specific item 1> Q13o,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST13Q16,Possessions <country-specific item 2> Q13p,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST13Q17,Possessions <country-specific item 3> Q13q,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST14Q01,How many cell phones Q14a,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST14Q02,How many televisions Q14b,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST14Q03,How many computers Q14c,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST14Q04,How many cars Q14d,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST15Q01,How many books at home Q15,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST16Q01,Sci enjoyment - Have fun Q16a,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST16Q02,Sci enjoyment - Like reading Q16b,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST16Q03,Sci enjoyment - Sci problems Q16c,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST16Q04,Sci enjoyment - New knowledge Q16d,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST16Q05,Sci enjoyment - Learning science Q16e,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST17Q01,Sci tasks - Newspaper Q17a,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST17Q02,Sci tasks - Earthquakes Q17b,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST17Q03,Sci tasks - Antibiotics Q17c,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST17Q04,Sci tasks - Garbage Q17d,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST17Q05,Sci tasks - Species survival Q17e,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST17Q06,Sci tasks - Food labels Q17f,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST17Q07,Sci tasks - Life on Mars Q17g,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST17Q08,Sci tasks - Acid rain Q17h,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST18Q01,Sci value - Living conditions Q18a,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST18Q02,Sci value - Natural world Q18b,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST18Q03,Sci value - Relate to others Q18c,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST18Q04,Sci value - Improve economy Q18d,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST18Q05,Sci value - Use as adult Q18e,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST18Q06,Sci value - Value to society Q18f,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST18Q07,Sci value - Relevant to me Q18g,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST18Q08,Sci value - Help understand Q18h,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST18Q09,Sci value - Social benefits Q18i,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST18Q10,Sci value - Opportunities Q18j,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST19Q01,Sci activity - Science TV Q19a,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST19Q02,Sci activity - Science books Q19b,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST19Q03,Sci activity - Web content Q19c,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST19Q04,Sci activity - Science radio Q19d,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST19Q05,Sci activity - Science mags Q19e,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST19Q06,Sci activity - Science club Q19f,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QA1,Sci info - Photosynthesis - none Q20a,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QA2,Sci info - Photosynthesis - school Q20a,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QA3,Sci info - Photosynthesis - media Q20a,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QA4,Sci info - Photosynthesis - friends Q20a,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QA5,Sci info - Photosynthesis - family Q20a,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QA6,Sci info - Photosynthesis - Internet or books Q20a,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QB1,Sci info - Continents - none Q20b,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QB2,Sci info - Continents - school Q20b,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QB3,Sci info - Continents - media Q20b,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QB4,Sci info - Continents - friends Q20b,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QB5,Sci info - Continents - family Q20b,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QB6,Sci info - Continents - Internet or books Q20b,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QC1,Sci info - Genes - none Q20c,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QC2,Sci info - Genes - school Q20c,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QC3,Sci info - Genes - media Q20c,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QC4,Sci info - Genes - friends Q20c,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QC5,Sci info - Genes - family Q20c,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QC6,Sci info - Genes - Internet or books Q20c,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QD1,Sci info - Soundproofing - none Q20d,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QD2,Sci info - Soundproofing - school Q20d,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QD3,Sci info - Soundproofing - media Q20d,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QD4,Sci info - Soundproofing - friends Q20d,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QD5,Sci info - Soundproofing - family Q20d,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QD6,Sci info - Soundproofing - Internet or books Q20d,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QE1,Sci info - Climate change - none Q20e,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QE2,Sci info - Climate change - school Q20e,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QE3,Sci info - Climate change - media Q20e,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QE4,Sci info - Climate change - friends Q20e,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QE5,Sci info - Climate change - family Q20e,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QE6,Sci info - Climate change - Internet or books Q20e,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QF1,Sci info - Evolution - none Q20f,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QF2,Sci info - Evolution - school Q20f,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QF3,Sci info - Evolution - media Q20f,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QF4,Sci info - Evolution - friends Q20f,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QF5,Sci info - Evolution - family Q20f,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QF6,Sci info - Evolution - Internet or books Q20f,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QG1,Sci info - Nuclear energy - none Q20g,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QG2,Sci info - Nuclear energy - school Q20g,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QG3,Sci info - Nuclear energy - media Q20g,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QG4,Sci info - Nuclear energy - friends Q20g,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QG5,Sci info - Nuclear energy - family Q20g,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QG6,Sci info - Nuclear energy - Internet or books Q20g,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QH1,Sci info - Health - none Q20h,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QH2,Sci info - Health - school Q20h,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QH3,Sci info - Health - media Q20h,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QH4,Sci info - Health - friends Q20h,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QH5,Sci info - Health - family Q20h,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST20QH6,Sci info - Health - Internet or books Q20h,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST21Q01,Sci interest - Physics Q21a,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST21Q02,Sci interest - Chemistry Q21b,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
ST21Q03,Sci interest - Plant biology Q21c,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,,,,,,,,,,,
